--- Monitoring Report (2026-02-17) ---
Date: 2026-02-17 02:00:01.194866
----------------------------------------
Task/Process                            | Actual Result       | Expected Result               
----------------------------------------------------------------------------------------------
JAR Status for SMPP            | 3/3         | Expected: 3/3
JARs started today             | 0/3         | Expected: 0/3
CFG Status                              | 0/10                | Expected: 10/10               
CFG Started Today                       | 0/10                | Expected: 0/10                
Storage for /                  | 11.75%       | Not Exceed: 70%
Storage for /data              | 40.72%       | Not Exceed: 70%
Storage for /tmp               | 0.01%       | Not Exceed: 70%
Storage for /var               | 2.66%       | Not Exceed: 70%
Storage for /home              | 6.44%       | Not Exceed: 70%
Storage for /backup            | 41.35%       | Not Exceed: 70%
Storage for /run               | 3.43%       | Not Exceed: 70%
Memory Usage                   | 13.20%      | Not Exceed: 70%
CPU "id" Usage                 | 91.2        | Not Below: 20
TCAP connected                 | 10/10       | Expected: 10/10
M3UA connected                 | 4/4         | Expected: 4/4
LINK connected                 | 2/2         | Expected: 2/2
SMPP CDR last 3 file created   | 3/3         | Expected: 3/3
SMPP CDR last 3 file writing   | 3/3         | Expected: 3/3
SS7 CDR last 3 file created    | 3/3         | Expected: 3/3
SS7 CDR last 3 file writing    | 3/3         | Expected: 3/3
AAG                       | writing      | writing
Nilai                     | writing      | writing
Rawang                    | writing      | writing
SS7 Trace Files Written             | 10/10              | Expected: 10/10
SMPP AAG  ERROR                | 4673          | ! Exceeds Limit
SMPP Nilai  ERROR              | 53551         | ! Exceeds Limit
SMPP Rawang  ERROR             | 53388         | ! Exceeds Limit
SS7 Trace File 1               | 0           | Not Exceed: 2000
SS7 Trace File 2               | 0           | Not Exceed: 2000
SS7 Trace File 3               | 0           | Not Exceed: 2000
SS7 Trace File 4               | 0           | Not Exceed: 2000
SS7 Trace File 5               | 0           | Not Exceed: 2000
SS7 Trace File 6               | 0           | Not Exceed: 2000
SS7 Trace File 7               | 0           | Not Exceed: 2000
SS7 Trace File 8               | 0           | Not Exceed: 2000
SS7 Trace File 9               | 0           | Not Exceed: 2000
SS7 Trace File 10              | 0           | Not Exceed: 2000
Haproxy                        | running       | running
Keepalived                     | running       | running
Java                           | running       | running
Tomcat                         | running       | running
Kafka                          | running       | running
Zookeeper                      | running       | running
SRI Request MWA                     | Current: 74439    | Previous: 58273 (Increased)
SRI Request RE                      | Current: 74451    | Previous: 58284 (Increased)
MT Forward Message Responce         | Current: 11070    | Previous: 8916 (Increased)
MO Messages                         | Current: 1187     | Previous: 953 (Increased)
MO Messages Response                | Current: 28       | Previous: 24 (Increased)
MT Messages                         | Current: 15252    | Previous: 12305 (Increased)
SRI Message response                | Current: 60013    | Previous: 46289 (Increased)
