--- Monitoring Report (2026-02-13) ---
Date: 2026-02-13 14:50:47.052466
----------------------------------------
Task/Process                            | Actual Result       | Expected Result               
----------------------------------------------------------------------------------------------
JAR Status for SMPP            | 0/3         | Expected: 3/3
JARs started today             | 0/3         | Expected: 0/3
CFG Status                              | 0/5                 | Expected: 5/5                 
CFG Started Today                       | 0/5                 | Expected: 0/5                 
Storage for /                  | 11.56%       | Not Exceed: 70%
Storage for /data              | 60.80%       | Not Exceed: 70%
Storage for /tmp               | 0.00%       | Not Exceed: 70%
Storage for /var               | 2.71%       | Not Exceed: 70%
Storage for /home              | 6.44%       | Not Exceed: 70%
Storage for /backup            | 100.00%       | Not Exceed: 70%
Storage for /run               | 3.34%       | Not Exceed: 70%
Memory Usage                   | 12.90%      | Not Exceed: 70%
CPU "id" Usage                 | 93.3        | Not Below: 99.9
TCAP connected                 | 10/10       | Expected: 10/10
M3UA connected                 | 4/4         | Expected: 4/4
LINK connected                 | 2/1         | Expected: 1/1
SMPP CDR last 3 file created   | 0/3         | Expected: 3/3
SMPP CDR last 3 file writing   | 0/3         | Expected: 3/3
SS7 CDR last 3 file created    | 3/3         | Expected: 3/3
SS7 CDR last 3 file writing    | 3/3         | Expected: 3/3
SMPP 5040                 | not writing  | writing
SMPP 5118                 | not writing  | writing
SMPP 2875                 | not writing  | writing
armour_100_1-Trace-2026-02-13.log   | Missing File        | Expected Today
armour_100_2-Trace-2026-02-13.log   | Missing File        | Expected Today
armour_100_3-Trace-2026-02-13.log   | Missing File        | Expected Today
armour_100_4-Trace-2026-02-13.log   | Missing File        | Expected Today
armour_100_5-Trace-2026-02-13.log   | Missing File        | Expected Today
SS7 Trace Files Written             | 0/5               | Expected: 5/5
SMPP SMPP 5040  ERROR          | 0             | Not Exceed: 50
SMPP SMPP 5118  ERROR          | 0             | Not Exceed: 50
SMPP SMPP 2875  ERROR          | 0             | Not Exceed: 50
SS7 Trace File 1               | File Missing | Skipped
SS7 Trace File 2               | File Missing | Skipped
SS7 Trace File 3               | File Missing | Skipped
SS7 Trace File 4               | File Missing | Skipped
SS7 Trace File 5               | File Missing | Skipped
Haproxy                        | running       | running
Keepalived                     | running       | running
PostgreSQL 16                  | running       | running
Apache NiFi                    | not running   | running
Java                           | running       | running
Tomcat                         | running       | running
Kafka                          | running       | running
Apache Superset                | not running   | running
Zookeeper                      | running       | running
Payload: message_type 5             | Current: 696070   | Previous: 1197319 (Decreased)
Armour Response: message_type 5     | Current: 696302   | Previous: 1198704 (Decreased)
Payload: message_type 4             | Current: 113317   | Previous: 242707 (Decreased)
Payload: message_type 3             | Current: 416718   | Previous: 559623 (Decreased)
message_type 3 Response             | Current: 237594   | Previous: 352670 (Decreased)
Armour Response: message_type 2     | Current: 154539   | Previous: 329233 (Decreased)
Armour Response: message_type 1     | Current: 592862   | Previous: 949609 (Decreased)
