--- Monitoring Report (2026-02-23) ---
Date: 2026-02-23 00:30:01.313037
----------------------------------------
Task/Process                            | Actual Result       | Expected Result               
----------------------------------------------------------------------------------------------
JAR Status for SMPP            | 3/3         | Expected: 3/3
JARs started today             | 0/3         | Expected: 0/3
CFG Status                              | 0/10                | Expected: 10/10               
CFG Started Today                       | 0/10                | Expected: 0/10                
Storage for /                  | 12.20%       | Not Exceed: 70%
Storage for /data              | 41.22%       | Not Exceed: 70%
Storage for /tmp               | 0.00%       | Not Exceed: 70%
Storage for /var               | 2.67%       | Not Exceed: 70%
Storage for /home              | 6.60%       | Not Exceed: 70%
Storage for /backup            | 34.82%       | Not Exceed: 70%
Storage for /run               | 3.72%       | Not Exceed: 70%
Memory Usage                   | 12.80%      | Not Exceed: 70%
CPU "id" Usage                 | 93.8        | Not Below: 20
TCAP connected                 | 10/10       | Expected: 10/10
M3UA connected                 | 4/4         | Expected: 4/4
LINK connected                 | 2/2         | Expected: 2/2
SMPP CDR last 3 file created   | 3/3         | Expected: 3/3
SMPP CDR last 3 file writing   | 3/3         | Expected: 3/3
SS7 CDR last 3 file created    | 3/3         | Expected: 3/3
SS7 CDR last 3 file writing    | 3/3         | Expected: 3/3
AAG                       | writing      | writing
Nilai                     | writing      | writing
Rawang                    | writing      | writing
SS7 Trace Files Written             | 10/10              | Expected: 10/10
SMPP AAG  ERROR                | 0             | Not Exceed: 50
SMPP Nilai  ERROR              | 0             | Not Exceed: 50
SMPP Rawang  ERROR             | 0             | Not Exceed: 50
SS7 Trace File 1               | 0           | Not Exceed: 2000
SS7 Trace File 2               | 0           | Not Exceed: 2000
SS7 Trace File 3               | 0           | Not Exceed: 2000
SS7 Trace File 4               | 0           | Not Exceed: 2000
SS7 Trace File 5               | 0           | Not Exceed: 2000
SS7 Trace File 6               | 0           | Not Exceed: 2000
SS7 Trace File 7               | 0           | Not Exceed: 2000
SS7 Trace File 8               | 0           | Not Exceed: 2000
SS7 Trace File 9               | 0           | Not Exceed: 2000
SS7 Trace File 10              | 0           | Not Exceed: 2000
Haproxy                        | running       | running
Keepalived                     | running       | running
Java                           | running       | running
Tomcat                         | running       | running
Kafka                          | running       | running
Zookeeper                      | running       | running
SRI Request MWA                     | Current: 17071    | Previous: 30 (Increased)
SRI Request RE                      | Current: 17072    | Previous: 29 (Increased)
MT Forward Message Responce         | Current: 1915     | Previous: 3 (Increased)
MO Messages                         | Current: 11279    | Previous: 17 (Increased)
MO Messages Response                | Current: 5798     | Previous: 11 (Increased)
MT Messages                         | Current: 3272     | Previous: 5 (Increased)
SRI Message response                | Current: 15576    | Previous: 23 (Increased)
