--- Monitoring Report (2026-02-21) ---
Date: 2026-02-21 23:00:01.351687
----------------------------------------
Task/Process                            | Actual Result       | Expected Result               
----------------------------------------------------------------------------------------------
JAR Status for SMPP            | 3/3         | Expected: 3/3
JARs started today             | 0/3         | Expected: 0/3
CFG Status                              | 0/10                | Expected: 10/10               
CFG Started Today                       | 0/10                | Expected: 0/10                
Storage for /                  | 12.08%       | Not Exceed: 70%
Storage for /data              | 42.41%       | Not Exceed: 70%
Storage for /tmp               | 0.00%       | Not Exceed: 70%
Storage for /var               | 2.82%       | Not Exceed: 70%
Storage for /home              | 6.60%       | Not Exceed: 70%
Storage for /backup            | 32.61%       | Not Exceed: 70%
Storage for /run               | 3.66%       | Not Exceed: 70%
Memory Usage                   | 12.70%      | Not Exceed: 70%
CPU "id" Usage                 | 85.6        | Not Below: 20
TCAP connected                 | 10/10       | Expected: 10/10
M3UA connected                 | 4/4         | Expected: 4/4
LINK connected                 | 2/2         | Expected: 2/2
SMPP CDR last 3 file created   | 3/3         | Expected: 3/3
SMPP CDR last 3 file writing   | 3/3         | Expected: 3/3
SS7 CDR last 3 file created    | 3/3         | Expected: 3/3
SS7 CDR last 3 file writing    | 3/3         | Expected: 3/3
AAG                       | writing      | writing
Nilai                     | writing      | writing
Rawang                    | writing      | writing
SS7 Trace Files Written             | 10/10              | Expected: 10/10
SMPP AAG  ERROR                | 21            | Not Exceed: 50
SMPP Nilai  ERROR              | 0             | Not Exceed: 50
SMPP Rawang  ERROR             | 0             | Not Exceed: 50
SS7 Trace File 1               | 0           | Not Exceed: 2000
SS7 Trace File 2               | 13          | Not Exceed: 2000
SS7 Trace File 3               | 0           | Not Exceed: 2000
SS7 Trace File 4               | 25          | Not Exceed: 2000
SS7 Trace File 5               | 0           | Not Exceed: 2000
SS7 Trace File 6               | 0           | Not Exceed: 2000
SS7 Trace File 7               | 3           | Not Exceed: 2000
SS7 Trace File 8               | 0           | Not Exceed: 2000
SS7 Trace File 9               | 0           | Not Exceed: 2000
SS7 Trace File 10              | 7           | Not Exceed: 2000
Haproxy                        | running       | running
Keepalived                     | running       | running
Java                           | running       | running
Tomcat                         | running       | running
Kafka                          | running       | running
Zookeeper                      | running       | running
SRI Request MWA                     | Current: 1297966  | Previous: 1280140 (Increased)
SRI Request RE                      | Current: 1298208  | Previous: 1280375 (Increased)
MT Forward Message Responce         | Current: 255750   | Previous: 253585 (Increased)
MO Messages                         | Current: 637033   | Previous: 624140 (Increased)
MO Messages Response                | Current: 343594   | Previous: 336893 (Increased)
MT Messages                         | Current: 413995   | Previous: 410189 (Increased)
SRI Message response                | Current: 953312   | Previous: 937567 (Increased)
