--- Monitoring Report (2026-02-21) ---
Date: 2026-02-21 21:30:01.845668
----------------------------------------
Task/Process                            | Actual Result       | Expected Result               
----------------------------------------------------------------------------------------------
JAR Status for SMPP            | 3/3         | Expected: 3/3
JARs started today             | 0/3         | Expected: 0/3
CFG Status                              | 0/10                | Expected: 10/10               
CFG Started Today                       | 0/10                | Expected: 0/10                
Storage for /                  | 12.07%       | Not Exceed: 70%
Storage for /data              | 42.19%       | Not Exceed: 70%
Storage for /tmp               | 0.00%       | Not Exceed: 70%
Storage for /var               | 2.81%       | Not Exceed: 70%
Storage for /home              | 6.60%       | Not Exceed: 70%
Storage for /backup            | 32.61%       | Not Exceed: 70%
Storage for /run               | 3.66%       | Not Exceed: 70%
Memory Usage                   | 12.80%      | Not Exceed: 70%
CPU "id" Usage                 | 72.1        | Not Below: 20
TCAP connected                 | 10/10       | Expected: 10/10
M3UA connected                 | 4/4         | Expected: 4/4
LINK connected                 | 2/2         | Expected: 2/2
SMPP CDR last 3 file created   | 3/3         | Expected: 3/3
SMPP CDR last 3 file writing   | 3/3         | Expected: 3/3
SS7 CDR last 3 file created    | 3/3         | Expected: 3/3
SS7 CDR last 3 file writing    | 3/3         | Expected: 3/3
AAG                       | writing      | writing
Nilai                     | writing      | writing
Rawang                    | writing      | writing
SS7 Trace Files Written             | 10/10              | Expected: 10/10
SMPP AAG  ERROR                | 19            | Not Exceed: 50
SMPP Nilai  ERROR              | 0             | Not Exceed: 50
SMPP Rawang  ERROR             | 0             | Not Exceed: 50
SS7 Trace File 1               | 0           | Not Exceed: 2000
SS7 Trace File 2               | 13          | Not Exceed: 2000
SS7 Trace File 3               | 0           | Not Exceed: 2000
SS7 Trace File 4               | 25          | Not Exceed: 2000
SS7 Trace File 5               | 0           | Not Exceed: 2000
SS7 Trace File 6               | 0           | Not Exceed: 2000
SS7 Trace File 7               | 3           | Not Exceed: 2000
SS7 Trace File 8               | 0           | Not Exceed: 2000
SS7 Trace File 9               | 0           | Not Exceed: 2000
SS7 Trace File 10              | 7           | Not Exceed: 2000
Haproxy                        | running       | running
Keepalived                     | running       | running
Java                           | running       | running
Tomcat                         | running       | running
Kafka                          | running       | running
Zookeeper                      | running       | running
SRI Request MWA                     | Current: 1243561  | Previous: 1224075 (Increased)
SRI Request RE                      | Current: 1243777  | Previous: 1224343 (Increased)
MT Forward Message Responce         | Current: 248973   | Previous: 246201 (Increased)
MO Messages                         | Current: 598594   | Previous: 585308 (Increased)
MO Messages Response                | Current: 323458   | Previous: 316299 (Increased)
MT Messages                         | Current: 402120   | Previous: 396900 (Increased)
SRI Message response                | Current: 905092   | Previous: 887997 (Increased)
