--- Monitoring Report (2026-02-17) ---
Date: 2026-02-17 03:30:01.394909
----------------------------------------
Task/Process                            | Actual Result       | Expected Result               
----------------------------------------------------------------------------------------------
JAR Status for SMPP            | 3/3         | Expected: 3/3
JARs started today             | 0/3         | Expected: 0/3
CFG Status                              | 0/10                | Expected: 10/10               
CFG Started Today                       | 0/10                | Expected: 0/10                
Storage for /                  | 11.76%       | Not Exceed: 70%
Storage for /data              | 39.56%       | Not Exceed: 70%
Storage for /tmp               | 0.01%       | Not Exceed: 70%
Storage for /var               | 2.67%       | Not Exceed: 70%
Storage for /home              | 6.44%       | Not Exceed: 70%
Storage for /backup            | 41.36%       | Not Exceed: 70%
Storage for /run               | 3.43%       | Not Exceed: 70%
Memory Usage                   | 13.30%      | Not Exceed: 70%
CPU "id" Usage                 | 90.0        | Not Below: 20
TCAP connected                 | 10/10       | Expected: 10/10
M3UA connected                 | 4/4         | Expected: 4/4
LINK connected                 | 2/2         | Expected: 2/2
SMPP CDR last 3 file created   | 3/3         | Expected: 3/3
SMPP CDR last 3 file writing   | 3/3         | Expected: 3/3
SS7 CDR last 3 file created    | 3/3         | Expected: 3/3
SS7 CDR last 3 file writing    | 3/3         | Expected: 3/3
AAG                       | writing      | writing
Nilai                     | writing      | writing
Rawang                    | writing      | writing
SS7 Trace Files Written             | 10/10              | Expected: 10/10
SMPP AAG  ERROR                | 6868          | ! Exceeds Limit
SMPP Nilai  ERROR              | 93743         | ! Exceeds Limit
SMPP Rawang  ERROR             | 93412         | ! Exceeds Limit
SS7 Trace File 1               | 0           | Not Exceed: 2000
SS7 Trace File 2               | 0           | Not Exceed: 2000
SS7 Trace File 3               | 0           | Not Exceed: 2000
SS7 Trace File 4               | 0           | Not Exceed: 2000
SS7 Trace File 5               | 0           | Not Exceed: 2000
SS7 Trace File 6               | 0           | Not Exceed: 2000
SS7 Trace File 7               | 0           | Not Exceed: 2000
SS7 Trace File 8               | 0           | Not Exceed: 2000
SS7 Trace File 9               | 0           | Not Exceed: 2000
SS7 Trace File 10              | 0           | Not Exceed: 2000
Haproxy                        | running       | running
Keepalived                     | running       | running
Java                           | running       | running
Tomcat                         | running       | running
Kafka                          | running       | running
Zookeeper                      | running       | running
SRI Request MWA                     | Current: 121239   | Previous: 106309 (Increased)
SRI Request RE                      | Current: 121260   | Previous: 106320 (Increased)
MT Forward Message Responce         | Current: 16784    | Previous: 15039 (Increased)
MO Messages                         | Current: 1930     | Previous: 1672 (Increased)
MO Messages Response                | Current: 44       | Previous: 43 (Increased)
MT Messages                         | Current: 23218    | Previous: 20705 (Increased)
SRI Message response                | Current: 100072   | Previous: 87090 (Increased)
