--- Monitoring Report (2026-02-21) ---
Date: 2026-02-21 13:30:01.683636
----------------------------------------
Task/Process                            | Actual Result       | Expected Result               
----------------------------------------------------------------------------------------------
JAR Status for SMPP            | 3/3         | Expected: 3/3
JARs started today             | 0/3         | Expected: 0/3
CFG Status                              | 0/10                | Expected: 10/10               
CFG Started Today                       | 0/10                | Expected: 0/10                
Storage for /                  | 12.02%       | Not Exceed: 70%
Storage for /data              | 39.99%       | Not Exceed: 70%
Storage for /tmp               | 0.00%       | Not Exceed: 70%
Storage for /var               | 2.81%       | Not Exceed: 70%
Storage for /home              | 6.55%       | Not Exceed: 70%
Storage for /backup            | 32.61%       | Not Exceed: 70%
Storage for /run               | 3.64%       | Not Exceed: 70%
Memory Usage                   | 12.40%      | Not Exceed: 70%
CPU "id" Usage                 | 87.4        | Not Below: 20
TCAP connected                 | 10/10       | Expected: 10/10
M3UA connected                 | 4/4         | Expected: 4/4
LINK connected                 | 2/2         | Expected: 2/2
SMPP CDR last 3 file created   | 3/3         | Expected: 3/3
SMPP CDR last 3 file writing   | 3/3         | Expected: 3/3
SS7 CDR last 3 file created    | 3/3         | Expected: 3/3
SS7 CDR last 3 file writing    | 3/3         | Expected: 3/3
AAG                       | writing      | writing
Nilai                     | writing      | writing
Rawang                    | writing      | writing
SS7 Trace Files Written             | 10/10              | Expected: 10/10
SMPP AAG  ERROR                | 11            | Not Exceed: 50
SMPP Nilai  ERROR              | 0             | Not Exceed: 50
SMPP Rawang  ERROR             | 0             | Not Exceed: 50
SS7 Trace File 1               | 0           | Not Exceed: 2000
SS7 Trace File 2               | 13          | Not Exceed: 2000
SS7 Trace File 3               | 0           | Not Exceed: 2000
SS7 Trace File 4               | 25          | Not Exceed: 2000
SS7 Trace File 5               | 0           | Not Exceed: 2000
SS7 Trace File 6               | 0           | Not Exceed: 2000
SS7 Trace File 7               | 2           | Not Exceed: 2000
SS7 Trace File 8               | 0           | Not Exceed: 2000
SS7 Trace File 9               | 0           | Not Exceed: 2000
SS7 Trace File 10              | 7           | Not Exceed: 2000
Haproxy                        | running       | running
Keepalived                     | running       | running
Java                           | running       | running
Tomcat                         | running       | running
Kafka                          | running       | running
Zookeeper                      | running       | running
SRI Request MWA                     | Current: 747028   | Previous: 702933 (Increased)
SRI Request RE                      | Current: 747365   | Previous: 703248 (Increased)
MT Forward Message Responce         | Current: 154350   | Previous: 144740 (Increased)
MO Messages                         | Current: 350866   | Previous: 333973 (Increased)
MO Messages Response                | Current: 181010   | Previous: 171900 (Increased)
MT Messages                         | Current: 228153   | Previous: 212846 (Increased)
SRI Message response                | Current: 508915   | Previous: 481005 (Increased)
