--- Monitoring Report (2026-02-16) ---
Date: 2026-02-16 20:54:42.904042
----------------------------------------
Task/Process                            | Actual Result       | Expected Result               
----------------------------------------------------------------------------------------------
JAR Status for SMPP            | 3/3         | Expected: 3/3
JARs started today             | 0/3         | Expected: 0/3
CFG Status                              | 0/10                | Expected: 10/10               
CFG Started Today                       | 0/10                | Expected: 0/10                
Storage for /                  | 11.84%       | Not Exceed: 70%
Storage for /data              | 40.53%       | Not Exceed: 70%
Storage for /tmp               | 0.00%       | Not Exceed: 70%
Storage for /var               | 2.67%       | Not Exceed: 70%
Storage for /home              | 6.44%       | Not Exceed: 70%
Storage for /backup            | 41.34%       | Not Exceed: 70%
Storage for /run               | 3.43%       | Not Exceed: 70%
Memory Usage                   | 13.10%      | Not Exceed: 70%
CPU "id" Usage                 | 93.3        | Not Below: 20
TCAP connected                 | 10/10       | Expected: 10/10
M3UA connected                 | 4/4         | Expected: 4/4
LINK connected                 | 2/2         | Expected: 2/2
SMPP CDR last 3 file created   | 2/3         | Expected: 3/3
SMPP CDR last 3 file writing   | 3/3         | Expected: 3/3
SS7 CDR last 3 file created    | 2/3         | Expected: 3/3
SS7 CDR last 3 file writing    | 3/3         | Expected: 3/3
AAG                       | writing      | writing
Nilai                     | writing      | writing
Rawang                    | writing      | writing
SS7 Trace Files Written             | 10/10              | Expected: 10/10
SMPP AAG  ERROR                | 64421         | ! Exceeds Limit
SMPP Nilai  ERROR              | 478755        | ! Exceeds Limit
SMPP Rawang  ERROR             | 475644        | ! Exceeds Limit
SS7 Trace File 1               | 0           | Not Exceed: 2000
SS7 Trace File 2               | 0           | Not Exceed: 2000
SS7 Trace File 3               | 0           | Not Exceed: 2000
SS7 Trace File 4               | 0           | Not Exceed: 2000
SS7 Trace File 5               | 0           | Not Exceed: 2000
SS7 Trace File 6               | 15          | Not Exceed: 2000
SS7 Trace File 7               | 0           | Not Exceed: 2000
SS7 Trace File 8               | 0           | Not Exceed: 2000
SS7 Trace File 9               | 0           | Not Exceed: 2000
SS7 Trace File 10              | 0           | Not Exceed: 2000
Haproxy                        | running       | running
Keepalived                     | running       | running
Java                           | running       | running
Tomcat                         | running       | running
Kafka                          | running       | running
Zookeeper                      | running       | running
SRI Request MWA                     | Current: 1372588  | Previous: 1349307 (Increased)
SRI Request RE                      | Current: 1373025  | Previous: 1349757 (Increased)
MT Forward Message Responce         | Current: 347247   | Previous: 341528 (Increased)
MO Messages                         | Current: 12121    | Previous: 11824 (Increased)
MO Messages Response                | Current: 324      | Previous: 313 (Increased)
MT Messages                         | Current: 458339   | Previous: 451154 (Increased)
SRI Message response                | Current: 1032369  | Previous: 1015845 (Increased)
